decaimiento (us);evento;evento restado
40007;1707959722;1252
40011;1707959723;1253
40016;1707959724;1254
40013;1707959725;1255
40015;1707959726;1256
40009;1707959727;1257
40004;1707959728;1258
40007;1707959729;1259
40006;1707959730;1260
40007;1707959731;1261
40006;1707959732;1262
40008;1707959733;1263
40007;1707959734;1264
40003;1707959735;1265
40005;1707959736;1266
40009;1707959737;1267
3100;1707959737;1267
40004;1707959738;1268
40008;1707959739;1269
40006;1707959740;1270
40008;1707959741;1271
1880;1707959741;1271
40008;1707959742;1272
40006;1707959743;1273
40012;1707959744;1274
40010;1707959745;1275
40004;1707959746;1276
40003;1707959747;1277
40004;1707959748;1278
40009;1707959749;1279
40005;1707959750;1280
5540;1707959750;1280
40004;1707959751;1281
40006;1707959752;1282
40006;1707959753;1283
40003;1707959754;1284
40008;1707959755;1285
40007;1707959756;1286
40010;1707959757;1287
40004;1707959758;1288
40001;1707959759;1289
40006;1707959760;1290
40006;1707959761;1291
40006;1707959762;1292
40009;1707959763;1293
40004;1707959764;1294
40007;1707959765;1295
40003;1707959766;1296
40005;1707959767;1297
40006;1707959768;1298
40006;1707959769;1299
40006;1707959770;1300
40011;1707959771;1301
40008;1707959772;1302
40005;1707959773;1303
40005;1707959774;1304
40004;1707959775;1305
40005;1707959776;1306
40004;1707959777;1307
40004;1707959778;1308
40005;1707959779;1309
40008;1707959780;1310
40009;1707959781;1311
40005;1707959782;1312
40005;1707959783;1313
